"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208998_at",2.68473620261765,10.5479536607324,3.66223365031658,0.000516423112675408,0.0105113866112699,-0.584872462536851
"220448_at",-3.67050006255882,4.98463461908451,-3.66217940617168,0.000516513042894511,0.0105113866112699,-0.585035302418149
"222581_at",2.05970198182353,9.87668109922535,3.66073713625942,0.000518909640495707,0.0105544997295681,-0.589364403092978
"213108_at",-2.56102927535294,4.21256134153521,-3.65817252671414,0.000523197447428034,0.01063505391961,-0.59705960984987
"223605_at",-5.70549025697059,5.86333460425352,-3.65803371684547,0.000523430487480408,0.01063505391961,-0.597476015562258
"217886_at",-2.19815637611764,10.4325987878451,-3.65631239332259,0.000526328562458657,0.0106882152271567,-0.60263884908599
"205414_s_at",-3.5901751695,6.04652896039437,-3.65554178311758,0.000527630941932026,0.0107089330321327,-0.604949666274216
"211005_at",-1.48555339817647,3.11379795319718,-3.6548163364501,0.00052885980167535,0.0107270888236185,-0.607124767068794
"226000_at",1.47181137670588,10.9166338076761,3.65468017841485,0.000529090748743581,0.0107270888236185,-0.607532977758002
"210542_s_at",-3.40383044794117,4.84281930346479,-3.65393618559851,0.00053035438684666,0.0107469676446226,-0.60976334472301
"229961_x_at",-2.93856965332353,4.36462122684507,-3.65347711139624,0.000531135539586098,0.0107570535055767,-0.611139427778514
"230636_s_at",-3.45109268820588,3.15206280046479,-3.65136902317713,0.000534736741898368,0.010824212427739,-0.617457036247503
"208694_at",1.47308341735294,11.454374401507,3.65065292989503,0.000535965320525399,0.0108432983876444,-0.619602522967351
"1557481_a_at",-1.74216049782353,3.91574145638028,-3.65041542263898,0.000536373398585716,0.0108457730260641,-0.620314058725857
"209000_s_at",-3.38840404232353,5.49611867119718,-3.64874315017544,0.000539255050703366,0.0108982354602745,-0.625323092860542
"203968_s_at",3.62423972547059,6.582602203,3.6477653376866,0.000540946848939533,0.0109266081451043,-0.628251296831663
"235205_at",-4.68355133035294,7.29542797011268,-3.64620652147589,0.000543654366113588,0.0109754562826995,-0.632918360382264
"232107_at",-1.73133279564706,3.37516488050704,-3.64555526353211,0.000544789364182805,0.0109925228751697,-0.634867833817096
"201127_s_at",2.04796546261765,9.75323554440845,3.64508331893157,0.000545613270949047,0.0110032976012753,-0.636280411493008
"210473_s_at",2.17380454497059,10.567864746169,3.64481118699892,0.000546088890847022,0.0110070407664407,-0.637094876348574
"242236_at",-2.71470990905882,3.20403615315493,-3.64242486210008,0.00055027657429693,0.0110855610938778,-0.644235244956431
